animal_id	studbook_id	name	taxonomic_code	species	sex	birth_date	birth_type	litter_size	death_date	mother_id	mother_name	mother_taxonomic_code	mother_species	mother_birth_date	father_id	father_name	father_taxonomic_code	father_species	father_birth_date
0014	NA	Roolette	OGG	Northern greater galago	F	1964-10-27	captive	1	NA	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0015	NA	Wol	OGG	Northern greater galago	F	1965-06-20	captive	1	1971-11-11	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0016	NA	Dorian Gray	OGG	Northern greater galago	F	1966-05-19	captive	1	1969-08-03	0014	Roolette	OGG	Northern greater galago	1964-10-27	0011	Rabbit	OGG	Northern greater galago	1964-10-29
0017	NA	Woozle	OGG	Northern greater galago	F	1967-06-08	captive	1	NA	0015	Wol	OGG	Northern greater galago	1965-06-20	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0018	NA	Tigger Ii	OGG	Northern greater galago	M	1969-03-29	captive	1	NA	0015	Wol	OGG	Northern greater galago	1965-06-20	0013	Christopher Robin	OGG	Northern greater galago	1965-12-30
0019	NA	White-Tail Ii	OGG	Northern greater galago	F	1969-07-20	captive	1	1971-03-30	0014	Roolette	OGG	Northern greater galago	1964-10-27	multiple possibilities (2)	NA	NA	NA	NA
0020	NA	Dorian Gray-A	OGG	Northern greater galago	M	1969-07-20	captive	1	1969-09-02	0016	Dorian Gray	OGG	Northern greater galago	1966-05-19	multiple possibilities (2)	NA	NA	NA	NA
0021	NA	Arlo	OGG	Northern greater galago	M	1969-12-30	captive	1	NA	0006	Roo	OGG	Northern greater galago	1961-03-17	0250	Woody	OGG	Northern greater galago	1968-08-16
0022	NA	Woozle-A	OGG	Northern greater galago	M	1970-05-11	captive	1	1970-05-18	0017	Woozle	OGG	Northern greater galago	1967-06-08	multiple possibilities (2)	NA	NA	NA	NA
0023	NA	Grace	OGG	Northern greater galago	F	1970-09-12	captive	1	NA	0014	Roolette	OGG	Northern greater galago	1964-10-27	0250	Woody	OGG	Northern greater galago	1968-08-16
0024	NA	Gorgon	OGG	Northern greater galago	F	1971-04-20	captive	1	NA	0017	Woozle	OGG	Northern greater galago	1967-06-08	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0025	NA	Roolette-B	OGG	Northern greater galago	NA	1971-05-05	captive	1	1971-05-05	0014	Roolette	OGG	Northern greater galago	1964-10-27	0250	Woody	OGG	Northern greater galago	1968-08-16
0026	NA	Barnaby	OGG	Northern greater galago	M	1971-06-10	captive	1	1973-02-07	0015	Wol	OGG	Northern greater galago	1965-06-20	multiple possibilities (2)	NA	NA	NA	NA
0027	NA	Phantom	OGG	Northern greater galago	M	1972-07-05	captive	1	1972-12-28	0023	Grace	OGG	Northern greater galago	1970-09-12	0018	Tigger Ii	OGG	Northern greater galago	1969-03-29
0028	NA	Tootsie	OGG	Northern greater galago	F	1972-10-04	captive	1	1973-06-11	0017	Woozle	OGG	Northern greater galago	1967-06-08	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0029	NA	Henry	OGG	Northern greater galago	M	1973-02-12	captive	1	NA	0024	Gorgon	OGG	Northern greater galago	1971-04-20	NA	NA	NA	NA	NA
0030	157	Colette	ECOL	Collared brown lemur	F	1959-10-01	wild	NA	1965-04-18	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0031	176	Colette-A	ECOL	Collared brown lemur	M	1964-02-01	captive	1	1964-02-01	0030	Colette	ECOL	Collared brown lemur	1959-10-01	520	Yves	ECOL	Collared brown lemur	1959-10-01
0032	192	Colette-B	ECOL	Collared brown lemur	NA	1965-04-17	captive	1	1965-04-17	0030	Colette	ECOL	Collared brown lemur	1959-10-01	520	Yves	ECOL	Collared brown lemur	1959-10-01
0033	267	Yvette-A	ECOL	Collared brown lemur	M	1969-02-03	captive	1	1969-02-03	521	Yvette	ECOL	Collared brown lemur	1959-10-01	520	Yves	ECOL	Collared brown lemur	1959-10-01
0034	344	Yvette-H	ECOL	Collared brown lemur	NA	1972-02-02	captive	1	1972-02-02	521	Yvette	ECOL	Collared brown lemur	1959-10-01	520	Yves	ECOL	Collared brown lemur	1959-10-01
0035	354	Bathsheba-A	EUL	Eulemur hybrid	M	1972-04-04	captive	1	1972-04-04	554	Bathsheba	EALB	White-fronted brown lemur	1966-10-01	512	Kingman Brewster	ERUF	Red-fronted brown lemur	1963-03-01
0036	162	Sal-A	EUL	Eulemur hybrid	F	1962-03-17	captive	1	1962-03-17	506	Sal	EFUL	Common brown lemur	1958-10-01	515	Thurber	ERUF	Red-fronted brown lemur	1958-10-01
0037	171	Puppet-A	EUL	Eulemur hybrid	F	1963-04-29	captive	1	1963-07-01	507	Puppet	EUL	Eulemur hybrid	1961-04-17	509	Pop	EFUL	Common brown lemur	1946-10-01
0038	180	Jocasta-A	EFUL	Common brown lemur	NA	1964-04-25	captive	2	1964-04-25	504	Jocasta	EFUL	Common brown lemur	1958-10-01	501	Peardrop	EFUL	Common brown lemur	1958-10-01
0039	181	Jocasta-B	EFUL	Common brown lemur	NA	1964-04-25	captive	2	1964-04-25	504	Jocasta	EFUL	Common brown lemur	1958-10-01	501	Peardrop	EFUL	Common brown lemur	1958-10-01
0040	193	Puppet-B	EUL	Eulemur hybrid	F	1965-05-07	captive	1	1965-08-03	507	Puppet	EUL	Eulemur hybrid	1961-04-17	509	Pop	EFUL	Common brown lemur	1946-10-01
0041	254	Frodo-A	EUL	Eulemur hybrid	F	1968-05-08	captive	1	1968-05-08	518	Frodo	EFUL	Common brown lemur	1966-03-06	512	Kingman Brewster	ERUF	Red-fronted brown lemur	1963-03-01
0042	271	Puppet-E	EUL	Eulemur hybrid	F	1969-02-25	captive	1	1969-02-25	507	Puppet	EUL	Eulemur hybrid	1961-04-17	501	Peardrop	EFUL	Common brown lemur	1958-10-01
0043	247	Lisa Della-A	ERUF	Red-fronted brown lemur	NA	1968-03-24	captive	1	1968-03-24	514	Lisa Della	ERUF	Red-fronted brown lemur	1965-03-08	515	Thurber	ERUF	Red-fronted brown lemur	1958-10-01
0044	1053	Crimson-A	ERUF	Red-fronted brown lemur	M	1984-03-12	captive	2	1984-03-12	5564	Crimson	ERUF	Red-fronted brown lemur	1979-02-10	5728	Redrover	ERUF	Red-fronted brown lemur	1982-03-01
0045	1051	Crimson-B	ERUF	Red-fronted brown lemur	F	1984-03-12	captive	2	1984-03-12	5564	Crimson	ERUF	Red-fronted brown lemur	1979-02-10	5728	Redrover	ERUF	Red-fronted brown lemur	1982-03-01
0046	T10002	Hope	HGG	Eastern lesser bamboo lemur	M	1961-12-01	wild	NA	1963-06-02	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0047	5	Venus-A	VRUB	Red ruffed lemur	NA	1966-06-13	captive	2	1966-06-13	523	Venus	VRUB	Red ruffed lemur	1948-10-01	522	Pluto	VRUB	Red ruffed lemur	1959-10-01
0048	6	Venus-B	VRUB	Red ruffed lemur	NA	1966-06-13	captive	2	1966-06-13	523	Venus	VRUB	Red ruffed lemur	1948-10-01	522	Pluto	VRUB	Red ruffed lemur	1959-10-01
0049	1016	Bernie	VRUB	Red ruffed lemur	M	1983-04-13	captive	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0050	109	Naomi-A	CMED	Fat-tailed dwarf lemur	NA	1969-11-30	captive	2	1969-11-30	605	Naomi	CMED	Fat-tailed dwarf lemur	1964-01-01	NA	NA	NA	NA	NA
0051	110	Naomi-B	CMED	Fat-tailed dwarf lemur	NA	1969-11-30	captive	2	1969-11-30	605	Naomi	CMED	Fat-tailed dwarf lemur	1964-01-01	NA	NA	NA	NA	NA
0052	1121	Nod-B	PPOT	Potto	NA	1968-04-10	captive	1	1968-04-10	905	Nod	PPOT	Potto	1964-11-29	903	Winkin	PPOT	Potto	1964-11-29
0053	1129	Blinkin-A	PPOT	Potto	NA	1969-02-16	captive	1	1969-02-16	904	Blinkin	PPOT	Potto	1964-11-29	903	Winkin	PPOT	Potto	1964-11-29
0054	NA	White-Tail-A	OGG	Northern greater galago	NA	1962-11-08	captive	1	1962-11-08	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0002	Bruiser	OGG	Northern greater galago	1959-01-28
0055	NA	White-Tail-B	OGG	Northern greater galago	NA	1963-05-08	captive	1	1963-05-08	0001	White-Tail	OGG	Northern greater galago	1959-01-28	0007	Hermit	OGG	Northern greater galago	1959-01-28
0056	NA	Roo-A	OGG	Northern greater galago	NA	1963-06-17	captive	1	1963-06-17	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0057	NA	Roo-B	OGG	Northern greater galago	NA	1963-11-17	captive	1	1963-11-17	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0058	NA	Roo-C	OGG	Northern greater galago	NA	1964-05-31	captive	1	1964-05-31	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0059	NA	Roo-D	OGG	Northern greater galago	NA	1965-10-17	captive	1	1965-10-17	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0060	NA	Roo-E	OGG	Northern greater galago	NA	1966-03-30	captive	1	1966-03-30	0006	Roo	OGG	Northern greater galago	1961-03-17	0005	Kanga	OGG	Northern greater galago	1961-08-25
0061	NA	Wol-A	OGG	Northern greater galago	NA	1966-11-08	captive	1	1966-11-08	0015	Wol	OGG	Northern greater galago	1965-06-20	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0062	NA	Piglette-A	OGG	Northern greater galago	NA	1966-07-14	captive	1	1966-07-14	0008	Piglette	OGG	Northern greater galago	1962-07-30	0009	Pooh Bear	OGG	Northern greater galago	1963-09-30
0063	NA	Roolette-A	OGG	Northern greater galago	M	1968-08-15	captive	1	1968-08-15	0014	Roolette	OGG	Northern greater galago	1964-10-27	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0064	NA	Mrs. Noah-A	OGG	Northern greater galago	F	1963-05-23	captive	1	1963-05-23	0201	Mrs. Noah	OGG	Northern greater galago	1961-01-28	0203	Ham	OGG	Northern greater galago	1962-07-11
0065	NA	Ella-A	OGG	Northern greater galago	NA	1972-07-12	captive	1	1972-07-13	0266	Ella	OGG	Northern greater galago	1970-12-06	0419	Ajax	OGG	Northern greater galago	1969-06-13
0066	NA	Kappa-A	OGG	Northern greater galago	M	1968-03-26	captive	1	1968-03-26	0410	Kappa	OGG	Northern greater galago	1965-09-28	0409	Iota	OGG	Northern greater galago	1965-07-26
0067	NA	Nancy-A	OGG	Northern greater galago	NA	1969-06-02	captive	1	1969-06-02	0414	Nancy Poo	OGG	Northern greater galago	1967-09-26	0413	Beidelman	OGG	Northern greater galago	1967-09-12
0068	NA	Athene-A	OGG	Northern greater galago	NA	1971-11-09	captive	1	1971-11-09	0420	Athene	OGG	Northern greater galago	1970-03-02	0250	Woody	OGG	Northern greater galago	1968-08-16
0069	NA	Woozle-B	OGG	Northern greater galago	M	1973-10-31	captive	1	1973-10-31	0017	Woozle	OGG	Northern greater galago	1967-06-08	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0070	NA	Mutungi	OGG	Northern greater galago	M	1978-04-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0071	NA	Buffy-A	OGG	Northern greater galago	NA	1969-09-11	captive	1	1969-09-11	0252	Buffy	OGG	Northern greater galago	1968-08-16	0250	Woody	OGG	Northern greater galago	1968-08-16
0072	NA	Njeki	OGG	Northern greater galago	M	1978-04-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0073	NA	Laura-A	OGG	Northern greater galago	NA	1972-07-10	captive	1	1972-07-10	0423	Laura	OGG	Northern greater galago	1970-12-06	0250	Woody	OGG	Northern greater galago	1968-08-16
0074	NA	Berrylium-A	OGG	Northern greater galago	M	1984-12-19	captive	1	1984-12-19	0480	Beryllium	OGG	Northern greater galago	1983-07-27	0473	Spinel	OGG	Northern greater galago	1982-11-30
0086	390	Sal-C	EFUL	Common brown lemur	NA	1973-04-08	captive	1	1973-04-08	506	Sal	EFUL	Common brown lemur	1958-10-01	501	Peardrop	EFUL	Common brown lemur	1958-10-01
0201	NA	Mrs. Noah	OGG	Northern greater galago	F	1961-01-28	NA	NA	1972-05-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0202	NA	Noah	OGG	Northern greater galago	M	1959-01-28	wild	NA	1963-01-01	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0203	NA	Ham	OGG	Northern greater galago	M	1962-07-11	captive	1	1966-10-16	0201	Mrs. Noah	OGG	Northern greater galago	1961-01-28	0202	Noah	OGG	Northern greater galago	1959-01-28
0250	NA	Woody	OGG	Northern greater galago	M	1968-08-16	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0251	NA	Malvina	OGG	Northern greater galago	F	1968-08-16	wild	NA	1971-07-13	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0252	NA	Buffy	OGG	Northern greater galago	F	1968-08-16	wild	NA	1971-04-21	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0253	NA	Seeger	OGG	Northern greater galago	M	1968-09-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0254	NA	Ochs	OGG	Northern greater galago	M	1968-09-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0255	NA	Dylan	OGG	Northern greater galago	M	1968-09-29	NA	NA	1971-11-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0256	NA	Odetta	OGG	Northern greater galago	F	1968-09-29	NA	NA	1969-06-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0257	NA	Mahalia	OGG	Northern greater galago	F	1968-09-29	NA	NA	1971-01-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0258	NA	Baez	OGG	Northern greater galago	F	1968-09-29	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0259	NA	Leadbelly	OGG	Northern greater galago	M	1968-10-10	wild	NA	1978-09-18	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0260	NA	Makeba	OGG	Northern greater galago	F	1968-10-10	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0261	NA	Richard	OGG	Northern greater galago	M	1970-01-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0262	NA	Paxton	OGG	Northern greater galago	M	1970-01-08	NA	NA	1971-02-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0263	NA	Mimi	OGG	Northern greater galago	F	1970-01-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0264	NA	Bessie	OGG	Northern greater galago	F	1970-01-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0265	NA	Buffy-B	OGG	Northern greater galago	M	1970-08-16	captive	1	1970-08-20	0252	Buffy	OGG	Northern greater galago	1968-08-16	0407	Eta	OGG	Northern greater galago	1965-07-27
0266	NA	Ella	OGG	Northern greater galago	F	1970-12-06	captive	1	NA	0258	Baez	OGG	Northern greater galago	1968-09-29	0254	Ochs	OGG	Northern greater galago	1968-09-29
0267	NA	Basie	OGG	Northern greater galago	M	1971-01-16	captive	1	NA	0252	Buffy	OGG	Northern greater galago	1968-08-16	0409	Iota	OGG	Northern greater galago	1965-07-26
0268	NA	Darwin	OGG	Northern greater galago	M	1971-05-11	captive	1	NA	0258	Baez	OGG	Northern greater galago	1968-09-29	0250	Woody	OGG	Northern greater galago	1968-08-16
0269	NA	Garth	OGG	Northern greater galago	M	1971-07-07	captive	1	NA	0260	Makeba	OGG	Northern greater galago	1968-10-10	0250	Woody	OGG	Northern greater galago	1968-08-16
0270	NA	Lillo	OGG	Northern greater galago	F	1971-09-10	captive	1	1972-07-01	0264	Bessie	OGG	Northern greater galago	1970-01-08	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0271	NA	Galahad	OGG	Northern greater galago	M	1972-05-12	captive	1	NA	0263	Mimi	OGG	Northern greater galago	1970-01-08	0413	Beidelman	OGG	Northern greater galago	1967-09-12
0272	NA	Yoko	OGG	Northern greater galago	F	1972-07-20	captive	1	NA	0258	Baez	OGG	Northern greater galago	1968-09-29	0253	Seeger	OGG	Northern greater galago	1968-09-29
0273	NA	Homer	OGG	Northern greater galago	M	1973-03-31	captive	2	NA	0260	Makeba	OGG	Northern greater galago	1968-10-10	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0274	NA	Gethro	OGG	Northern greater galago	M	1973-03-31	captive	2	NA	0260	Makeba	OGG	Northern greater galago	1968-10-10	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0275	NA	Page	OGG	Northern greater galago	M	1974-07-03	captive	1	NA	0260	Makeba	OGG	Northern greater galago	1968-10-10	0409	Iota	OGG	Northern greater galago	1965-07-26
0276	NA	Yoko-A	OGG	Northern greater galago	M	1975-05-02	captive	2	1975-05-03	0272	Yoko	OGG	Northern greater galago	1972-07-20	0409	Iota	OGG	Northern greater galago	1965-07-26
0277	NA	Carlos	OGG	Northern greater galago	M	1975-05-02	captive	2	1978-12-13	0272	Yoko	OGG	Northern greater galago	1972-07-20	0409	Iota	OGG	Northern greater galago	1965-07-26
0278	NA	Joni	OGG	Northern greater galago	F	1975-07-27	captive	1	1975-09-30	0260	Makeba	OGG	Northern greater galago	1968-10-10	0010	Eeyore	OGG	Northern greater galago	1964-05-20
0279	NA	Clicker	OGG	Northern greater galago	F	1974-01-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0280	NA	Witch	OGG	Northern greater galago	F	1974-01-18	NA	NA	1977-07-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0281	NA	Goblin	OGG	Northern greater galago	M	1974-01-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0282	NA	Hodari	OGG	Northern greater galago	M	1976-11-04	captive	NA	NA	0260	Makeba	OGG	Northern greater galago	1968-10-10	0277	Carlos	OGG	Northern greater galago	1975-05-02
0283	NA	Makeba-A	OGG	Northern greater galago	NA	1978-07-31	captive	1	1978-07-31	0260	Makeba	OGG	Northern greater galago	1968-10-10	0277	Carlos	OGG	Northern greater galago	1975-05-02
0401	NA	Delta	OGG	Northern greater galago	F	1966-05-03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0402	NA	Alpha	OGG	Northern greater galago	M	1966-09-15	captive	NA	1971-11-24	0406	Zeta	OGG	Northern greater galago	1965-09-27	0409	Iota	OGG	Northern greater galago	1965-07-26
0403	NA	Beta	OGG	Northern greater galago	F	1966-09-16	captive	NA	NA	0408	Theta	OGG	Northern greater galago	1965-09-28	0405	Epsilon	OGG	Northern greater galago	1965-07-27
0404	NA	Gamma	OGG	Northern greater galago	F	1966-09-16	captive	NA	1968-07-23	0410	Kappa	OGG	Northern greater galago	1965-09-28	0407	Eta	OGG	Northern greater galago	1965-07-27
0405	NA	Epsilon	OGG	Northern greater galago	M	1965-07-27	wild	NA	1970-03-31	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0406	NA	Zeta	OGG	Northern greater galago	F	1965-09-27	wild	NA	1970-07-19	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0407	NA	Eta	OGG	Northern greater galago	M	1965-07-27	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0408	NA	Theta	OGG	Northern greater galago	F	1965-09-28	wild	NA	1971-12-15	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0409	NA	Iota	OGG	Northern greater galago	M	1965-07-26	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0410	NA	Kappa	OGG	Northern greater galago	F	1965-09-28	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0411	NA	Lambda	OGG	Northern greater galago	F	1967-03-29	captive	1	1971-08-19	0408	Theta	OGG	Northern greater galago	1965-09-28	0407	Eta	OGG	Northern greater galago	1965-07-27
0412	NA	Mu	OGG	Northern greater galago	F	1967-04-05	captive	1	1970-03-11	0410	Kappa	OGG	Northern greater galago	1965-09-28	0409	Iota	OGG	Northern greater galago	1965-07-26
0413	NA	Beidelman	OGG	Northern greater galago	M	1967-09-12	captive	1	NA	0408	Theta	OGG	Northern greater galago	1965-09-28	0407	Eta	OGG	Northern greater galago	1965-07-27
0414	NA	Nancy Poo	OGG	Northern greater galago	F	1967-09-26	captive	1	NA	0410	Kappa	OGG	Northern greater galago	1965-09-28	0409	Iota	OGG	Northern greater galago	1965-07-26
0415	NA	Epaminondas	OGG	Northern greater galago	M	1968-04-30	captive	1	NA	0404	Gamma	OGG	Northern greater galago	1966-09-16	0013	Christopher Robin	OGG	Northern greater galago	1965-12-30
0416	NA	Orpheus	OGG	Northern greater galago	M	1968-06-22	captive	1	1971-11-17	0408	Theta	OGG	Northern greater galago	1965-09-28	0407	Eta	OGG	Northern greater galago	1965-07-27
0417	NA	Hermes	OGG	Northern greater galago	M	1968-09-16	captive	1	1969-06-02	0410	Kappa	OGG	Northern greater galago	1965-09-28	0409	Iota	OGG	Northern greater galago	1965-07-26
0418	NA	Alphabet	OGG	Northern greater galago	M	1969-06-02	captive	1	1972-03-24	0403	Beta	OGG	Northern greater galago	1966-09-16	0402	Alpha	OGG	Northern greater galago	1966-09-15
0419	NA	Ajax	OGG	Northern greater galago	M	1969-06-13	captive	1	NA	0410	Kappa	OGG	Northern greater galago	1965-09-28	0409	Iota	OGG	Northern greater galago	1965-07-26
0420	NA	Athene	OGG	Northern greater galago	F	1970-03-02	captive	1	NA	0406	Zeta	OGG	Northern greater galago	1965-09-27	0409	Iota	OGG	Northern greater galago	1965-07-26
0421	NA	Castor	OGG	Northern greater galago	M	1970-06-09	captive	1	1971-11-17	0410	Kappa	OGG	Northern greater galago	1965-09-28	multiple possibilities (2)	NA	NA	NA	NA
0422	NA	Havens	OGG	Northern greater galago	M	1970-09-28	captive	1	NA	0414	Nancy Poo	OGG	Northern greater galago	1967-09-26	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0423	NA	Laura	OGG	Northern greater galago	F	1970-12-06	captive	1	NA	0403	Beta	OGG	Northern greater galago	1966-09-16	0254	Ochs	OGG	Northern greater galago	1968-09-29
0424	NA	Kappa-B	OGG	Northern greater galago	M	1971-01-03	captive	1	1971-01-10	0410	Kappa	OGG	Northern greater galago	1965-09-28	0407	Eta	OGG	Northern greater galago	1965-07-27
0425	NA	Cio-Cio	OGG	Northern greater galago	F	1971-09-17	captive	1	NA	0410	Kappa	OGG	Northern greater galago	1965-09-28	multiple possibilities (2)	NA	NA	NA	NA
0426	NA	Hansel	OGG	Northern greater galago	M	1971-09-20	captive	1	NA	0414	Nancy Poo	OGG	Northern greater galago	1967-09-26	0413	Beidelman	OGG	Northern greater galago	1967-09-12
0427	NA	Evangeline	OGG	Northern greater galago	F	1972-03-16	captive	1	NA	0403	Beta	OGG	Northern greater galago	1966-09-16	multiple possibilities (3)	NA	NA	NA	NA
0428	NA	Ichabod	OGG	Northern greater galago	M	1972-05-08	captive	1	1972-07-16	0420	Athene	OGG	Northern greater galago	1970-03-02	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0429	NA	Ozma	OGG	Northern greater galago	F	1973-11-10	captive	1	NA	0414	Nancy Poo	OGG	Northern greater galago	1967-09-26	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0430	NA	Oak	OGG	Northern greater galago	M	1975-08-13	captive	1	NA	0429	Ozma	OGG	Northern greater galago	1973-11-10	0275	Page	OGG	Northern greater galago	1974-07-03
0431	NA	Nancy-B	OGG	Northern greater galago	NA	1975-08-20	captive	1	1975-08-20	0414	Nancy Poo	OGG	Northern greater galago	1967-09-26	0259	Leadbelly	OGG	Northern greater galago	1968-10-10
0432	NA	Mwajuma-A	OGG	Northern greater galago	M	1979-01-19	captive	1	1979-01-19	22624	Mwajuma	OGG	Northern greater galago	1967-11-08	26825	Jabu	OGG	Northern greater galago	1975-11-08
0433	NA	Dizi-A	OGG	Northern greater galago	NA	1979-03-12	captive	2	1979-03-12	26824	Dizi	OGG	Northern greater galago	1978-04-06	27502	Sultani	OGG	Northern greater galago	1978-04-06
0434	NA	Dizi-B	OGG	Northern greater galago	NA	1979-03-12	captive	2	1979-03-12	26824	Dizi	OGG	Northern greater galago	1978-04-06	27502	Sultani	OGG	Northern greater galago	1978-04-06
0435	NA	Tabu	OGG	Northern greater galago	F	1978-11-10	wild	NA	NA	wild	NA	NA	NA	NA	wild	NA	NA	NA	NA
0436	NA	Takataka	OGG	Northern greater galago	F	1969-06-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
