id,recipient,agency_name,year_received,date_received,donor,donor_country,gift_description,value_usd,justification
11,President,NA,1999,NA,"His Excellency Bertie Ahern, Prime Minister of Ireland",Ireland,"18"" x 15"" black wood framed and matted watercolor painting of a white domed building, a fountain, and trees. Recd--March 17, 1999. Est. Value-- $1200. Archives Foreign. Dublin crystal oval dish with etching that reads ``Presented to Bill Clinton, President of the United States on the Occassion of St. Patrick's Day, 1999, by the Taoesich Bertie Ahern''; approximately 14"" long x 16"" tall x 18"" wide. Recd--March 17, 1999. Est. Value-- $1200. Archives Foreign.",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
12,President,NA,1999,NA,"Mr. Yasser Arafat, Chairman, Executive Committee of the Palestine Liberation Organization",Palestinian Territories,"20"" x 13"" mother-of- pearl and abalone oval shadow box Nativity scene with a horseshoe- shaped crown on top. Inside the crown is an angel and a man. Recd-- March 23, 1999. Est. Value--$750. Archives Foreign.",750,Non-acceptance would cause embarrassment to donor and U.S. Government
13,President,NA,1999,NA,"His Excellency Jacques Chirac, President of the French Republic",France,"5"" square x 3"" tall Christian Dior men's burlwood jewelry box with removable top drawer lined with suede, and lid with small gilt handle. Recd--April 23, 1999. Est. Value--$250. Archives Foreign.",250,Non-acceptance would cause embarrassment to donor and U.S. Government
14,President,NA,1999,NA,"His Excellency Leonid Kuchma, President of Ukrane",NA,"(1) 6"" x 7"" bronze statute of three men and one woman on a ship, on a marble base, $750. (2) 15"" x 5"" diameter green vase hand-painted with purple and blue stemmed irises, $250. Recd--April 24, 1999. Est. Value--$1000. Archives Foreign.",1000,Non-acceptance would cause embarrassment to donor and U.S. Government
15,President,NA,1999,NA,"His Excellency Nursultan Nazarbayev, President of the Republic of Kazakhstan",Kazakhstan,"5"" x 2"" silver box with lid rimmed with 18 kt. gold border and the seal of Kazakhstan engraved on top. Recd-- April 14, 1999. Est. value--$2000. Archives Foreign.",2000,Non-acceptance would cause embarrassment to donor and U.S. Government
16,President,NA,1999,NA,"His Excellency Eduard Shevardnadze, President of Georgia",Georgia,"8"" tall 14 kt. gold and silver tree with green enamel leaves and grapes, on a 3"" x 6"" marble stand. Recd-- April 24, 1999. Est. Value--$2500. Archives Foreign.",2500,Non-acceptance would cause embarrassment to donor and U.S. Government
17,President,NA,1999,NA,"His Excellency Viktor Orban, The Prime Minister of the Republic of Hungary and Mrs. Orban",Hungary,".5 liter bottle of liquor, vintage 1963. Recd--May 3, 1999. Est. Value--$50. Accepted by Another Government Agency.",50,Non-acceptance would cause embarrassment to donor and U.S. Government
18,President,NA,1999,NA,"His Excellency Keizo Obuchi, The Prime Minister of Japan and Mrs. Obuchi",Japan,"Gilt framed pastel and gold wash painting of Mount Fuji at sunset with a pine forest in the foreground, under glass; sight size 16"" x 20""; signed in calligraphy. Recd--May 3, 1999 Est. Value-- $2500. Archives Foreign.",2500,Non-acceptance would cause embarrassment to donor and U.S. Government
19,President,NA,1999,NA,"His Excellency Arpad Goncz, The President of the Republic of Hungary and Mrs. Goncz",Hungary,"Three bottles of 1995 Szepsy wine. Recd-- June 8, 1999. Est. Value--$90. Accepted by Another Government Agency.",90,Non-acceptance would cause embarrassment to donor and U.S. Government
20,President,NA,1999,NA,"His Excellency Dr. Janez Drnovsek, Prime Minister of the Republic of Slovenia",Slovenia,"Handcrafted 32 piece lead crystal chess set. Board is 21"" square with black marble base and crystal top. Each playing piece is 2-3"" tall, one side has a white marble base, the other has a black marble base. Recd-- June 22, 1999. Est. Value--$1400. Archives Foreign.",1400,Non-acceptance would cause embarrassment to donor and U.S. Government
21,President,NA,1999,NA,"His Excellency Ljubco Georgievski, The Prime Minister of the Former Yugoslav Republic of Macedonia and Mrs. Georgievska",Macedonia,"13"" x 27"" wood carving of a bird and two bunches of grapes, with a 2.5"" wooden border. Recd--June 24, 1999. Est. Value-- $500. Archives Foreign.",500,Non-acceptance would cause embarrassment to donor and U.S. Government
22,President,NA,1999,NA,"His Excellency Mohamed Hosny Mubarak, President of the Arab Republic Egypt",Egypt,"65"" x 78"" earth-tone wool tapestry wall hanging reproduction that depicts a city street filled with people. Recd--July 1, 1999. Est. Value-- $2500. Archives Foreign.",2500,Non-acceptance would cause embarrassment to donor and U.S. Government
23,President,NA,1999,NA,"His Excellency Ehud Barak, The Prime Minister of Israel and Mrs. Barak",Israel,"Leather-bound antique book with gilt edging. ``The Recovery of Jerusalem,'' by Captain Charles Wilson and Captain Warren; original edition published 1871. Recd-- July 16, 1999. Est. Value--$700. Archives Foreign.",700,Non-acceptance would cause embarrassment to donor and U.S. Government
24,President,NA,1999,NA,"His Excellency Sergei Stepashin, Chairman of the Government of the Russian Federation",Russia,"8"" diameter carved gold chased metal and vermeil tray with tree matching 4"" tall pedestal cordial glasses. Recd--July 27, 1999. Est. Value-- $300. Archives Foreign.",300,Non-acceptance would cause embarrassment to donor and U.S. Government
25,President,NA,1999,NA,"His Majesty Mohamed VI, King of Morocco",Morocco,"Antique leather-bound books. (1) Six volume set of ``The World Crisis,'' by Winston Churchill, first edition, $2400. (2) ``Historic, Military, and Naval Anecdotes,'' by Edward Orme; illustrated with hand- colored lithographs, first edition, $3000. (3) ``Sonnets,'' by the Italian poet Petrarch, hand- illuminated edition, $5000. (4) ``Commentaries,'' by Caesar, edited by Clark in a large rebacked folio with maps, plans, and plates, $4000. Recd-- September 1, 1999. Est. Value--$14400. Archives Foreign. 8"" x 11"" green leather portfolio embossed with the seal of Morocco. Recd-- September 1, 1999. Est. Value--$30. Archives Foreign.",14400,Non-acceptance would cause embarrassment to donor and U.S. Government
26,President,NA,1999,NA,"His Excellency Sir Michael Hardie-Boys, G.C.M.G., Governor General of New Zealand",New Zealand,"59"" x 67"" sage, beige, brown, and maroon colored rug titled ``Whaka Hura''; limited edition. Recd-- September 13, 1999. Est. Value--$2824. Archives Foreign.",2824,Non-acceptance would cause embarrassment to donor and U.S. Government
27,President,NA,1999,NA,"His Excellency Phan Van Khai, Prime Minister of the Socialist Republic of Vietnam",Vietnam,"9"" diameter bronze incense burner with animal head ring handles. Bowl and legs have inlaid lacquer, shell, and mother-of- pearl traditional motifs and figures. Matching lid has open ventilation slots, inlaid folk instruments motif, and is capped with a ``fu dog'' finial. Burner stands on a tripodial base with plaque that reads ``With the compliments from H.E. Mr. Phan Van Khai, Prime Minister, Socialist Republic of Vietnam.'' Recd-- September 13, 1999. Est. Value--$500. Archives Foreign.",500,Non-acceptance would cause embarrassment to donor and U.S. Government
28,President,NA,1999,NA,"The Right Honorable Jenny Shipley, P.C., The Prime Minister of New Zealand and Mr. Shipley",New Zealand,"(1) 8"" x 17"" etched and sand blasted blue crystal canoe, $125. (2) Two woven pouches that contain a greenstone from the Ngai Tahu tribe and a Kauri tree seed, a symbolic tree in New Zealand, $30. (3) 18"" x 18"" x 10"" black wooden box with wool lining and a removable lid with an applied leaf design, $45. Recd--September 13, 1999. Est. Value-- $200. Archives Foreign.",200,Non-acceptance would cause embarrassment to donor and U.S. Government
29,President,NA,1999,NA,"The Right Honorable Jean Chretien, P.C., M.P., Prime Minister of Canada",Canada,"24"" x 20"" gilt wood framed and matted impressionist style winter landscape oil painting titled ``Vienvra le Temps,'' that depicts a hiking man sitting under a tree next to a campfire; painted and signed by Serge Brunoni; sight size 12"" x 16"". Recd-- September 30, 1999. Est. Value--$800. Archives Foreign.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
30,President,NA,1999,NA,"The Honorable Lucien Bouchard, Prime Minister of the Province of Quebec",NA,"11"" tall x 9"" long x 3"" wide solid bronze sculpture of a woodland caribou; signed by artist Huguette Joneas. Recd-- October 9, 1999. Est. Value--$1200. Archives Foreign.",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
31,President,NA,1999,NA,"His Excellency Eduard Kukan, Minister of Foreign Affairs of the Slovak Republic",Slovakia,"14"" cut crystal Valaska Bela vase with a snowflake motif and sawtooth border. Recd-- October 9, 1999. Est. Value--$550. Archives Foreign.",550,Non-acceptance would cause embarrassment to donor and U.S. Government
32,President,NA,1999,NA,"Their Majesties King Abdullah II and Queen Rania al Abdullah, Jordan",Jordan,"Hardcover book. ``The Mosaics of Jordan,'' by Michele Piccirillo. Recd--October 12, 1999. Est. Value--$65. Archives Foreign.",65,Non-acceptance would cause embarrassment to donor and U.S. Government
33,President,NA,1999,NA,"His Excellency Kjell Magne Bondevik, Prime Minister of Norway",Norway,"9"" x 10"" long silver model of a single- sailed Norwegian Viking boat, which sits on a 6"" x 7.5"" wooden base with silver plaque. Recd-- October 15, 1999. Est. Value--$700. Archives Foreign.",700,Non-acceptance would cause embarrassment to donor and U.S. Government
34,President,NA,1999,NA,"Her Excellency Mireya Moscoso, President of the Republic of Panama",Panama,"Gilt framed shadow box that contains a gold- tone reproduction of a Panamanian Huaca. Recd--October 19, 1999. Est. Value-- $200. Archives Foreign.",200,Non-acceptance would cause embarrassment to donor and U.S. Government
35,President,NA,1999,NA,"His Excellency Olusegun Obasanjo, The President of the Federal Republic of Nigeria and Mrs. Obasanjo",Nigeria,"10.5"" tall x 10"" wide silver eagle with vermeil gold beak and talons, that sits on a wooden base with plaque. Recd--October 28, 1999. Est. Value-- $2800. Archives Foreign.",2800,Non-acceptance would cause embarrassment to donor and U.S. Government
36,President,NA,1999,NA,"Their Majesties, The King and Queen of Norway",Norway,"(1) Three hardcover books. ``Norway,'' ``The Other Side of Blue,'' and ``Living in Norway,'' $60. (2) 8"" x 10"" framed photograph of King Harald and Queen Sonja, $20. Recd-- November 1, 1999. Est. Value--$80. Archives Foreign. 18"" tall bronze abstract sculpture of a man and woman standing together, titled ``Unity,'' signed by artist Kjersti, W., that sits on a 8"" x 5.5"" black marble base. Recd-- November 1, 1999. Est. Value--$3000. Archives Foreign.",3000,Non-acceptance would cause embarrassment to donor and U.S. Government
37,President,NA,1999,NA,"Mr. Yasser Arafat, Chairman, Committee of the Palestine Liberation Organization",Palestinian Territories,"15"" x 19"" mother-of- pearl and abalone shadow box Nativity scene. Recd--November 1, 1999. Est. Value-- $1000. Archives Foreign.",1000,Non-acceptance would cause embarrassment to donor and U.S. Government
38,President,NA,1999,NA,"His Royal Highness Prince Bandar bin Sultan, Ambassador of Saudi Arabia",Saudi Arabia,"16"" x 14"" x 8"" 18 kt. gold mantle clock with Arabic numerals, with a sterling silver Arabian horse with traditional Bahraini dress saddle that stands on a malachite base. Recd--November 3, 1999. Est. Value-- $12000. Archives Foreign.",12000,Non-acceptance would cause embarrassment to donor and U.S. Government
39,President,NA,1999,NA,"The Honorable Erol Cakir, Governor of Istanbul, The Republic of Turkey",Turkey,"(1) Hardcover book. ``Istanbul,'' $50. (2) 12"" silver coffee pot that sits on a 6"" diameter base, with inscription on base that reads ``As a memory of visiting Istanbul: Earl Cakir,'' $2500. Recd-- November 17, 1999. Est. Value--$2550. Archives Foreign.",2550,Non-acceptance would cause embarrassment to donor and U.S. Government
40,President,NA,1999,NA,"The Honorable Dimitris L. Avramopoulos, The Mayor of Athens and Mrs. Avramopoulos, The Hellenic Republic",Greece,"15"" x 9"" ornately carved gold and silver religious icon in the shape of an altar with a picture of the Virgin Mary of Soumela in the center; mounted on an 18"" x 12"" velvet- covered board. Recd-- November 22, 1999. Est. Value--$800. Archives Foreign.",800,Non-acceptance would cause embarrassment to donor and U.S. Government
41,President,NA,1999,NA,"The Honorable Yordon Sokolov, President, National Assembly, Republic of Bulgaria",Bulgaria,"(1) 14"" tall x 14"" wide x 6"" deep grey/green carved marble eagle, $1000. (2) 2.5"" diameter silver medallion that depicts a religious man with a beard, with writing around the rim, $50. Recd--November 22, 1999. Est. Value-- $1050. Archives Foreign. (1) Videotape. ``Panorama,'' $15. (2) Hardcover book. ``120 Years National Assembly 1879-1999,'' by the National Assembly in Sofia, $25. Recd--November 22, 1999. Est. Value-- $40. Archives Foreign",1050,Non-acceptance would cause embarrassment to donor and U.S. Government
42,President,NA,1999,NA,"His Excellency Petar Stoyanov, The President of the Republic of Bulgaria and Mrs. Stoyanova",Bulgaria,"28"" x 23"" gilt and peach framed abstract oil painting that depicts a blue cup and a peach block in the lower corner on a navy background; sight size 19"" x 24"". Recd-- November 22, 1999. Est. Value--$300. Archives Foreign.",300,Non-acceptance would cause embarrassment to donor and U.S. Government
43,President,NA,1999,NA,"His Excellency Leonid Kuchma, President of Ukraine",Ukraine,"(1) 31"" x 43"" oil painting on canvas titled ``The Well,'' in a 49.5"" x 38"" gilt frame. Piece depicts a stone well in a barren landscape of muted grey, blue, and green tones, $3500. (2) Silver medallion engraved with the image of a Ukrainian palace, $50. (3) 3"" x 1"" gold-plated sculpture in the shape of a wand and a crown, all of which sit on a green marble base, $40. (4) 8"" diameter green glass vase with blue, grey, red, and yellow circles and swirls, $250. Recd-- December 8, 1999. Est. Value--$3840. Archives Foreign. (1) Bottle of Hetman vodka (2) Bottle of Ukrainian liquor. Recd--December 8, 1999. Est. Value--$65. Accepted by Another Government Agency",3840,Non-acceptance would cause embarrassment to donor and U.S. Government
44,President,NA,1999,NA,"His Majesty Sultan Haji Hassanal Bolkiah Mu' Izzaddin Waddaulah, Sultan and Yang Di- Pertuan of Brunei Darussalam",Brunei,"(1) Three ceramic coffee canisters, with gold-tone clasps, $60. (2) Small navy blue nylon backpack, $25. (3) Green apron with gold vertical stripes, $30. (4) Green pot holder with gold vertical stripes, $15. (5) Navy blue plastic tote bag with gold stars, $20. (6) Light brown ``Millennium Bear'' teddy bear, $50. (7) 18"" x 27"" braided wicker basket, $60. (8) 14"" oatmeal and brown Harrods teddy bear with a maroon fleece hat and scarf, $75. (9) 10"" brass and glass coffee pot, $60. (10) Silver corkscrew, $35. (11) Two 7"" silver candlesticks, $60. (12) 9"" crystal decanter with gold trim, $100. (13) Set of four crystal brandy glasses with gold trim, $200. (14) Silver gray ladle, $25. (15) 9"" silver platter, $50. (16) 8"" silver gravy boat, $40. (17) 8"" cream colored cake stand with a green and purple grape and leaf pattern, $75. Recd-- December 16, 1999. Est. Value--$980. Archives Foreign. Assorted wine, champagne, candles, and food products, all from Harrods. Recd-- December 16, 1999. Est. Value--$1200. Accepted by Another Government Agency",1200,Non-acceptance would cause embarrassment to donor and U.S. Government
45,President,NA,1999,NA,"His Excellency Martti Ahtisaari, President of Finland",Finland,"Set of 14 kt. gold cuff links and tie clip that bear the seal of Finland. Recd-- December 17, 1999. Est. Value--$575. Archives Foreign.",575,Non-acceptance would cause embarrassment to donor and U.S. Government
46,President,NA,1999,NA,"His Excellency Jibril Muhammad Aminu, Ambassador of the Federal Republic of Nigeria",Nigeria,"Three 29"" diameter circular leather mats and one 11.5' x 10' leather floor covering. All items are primarily beige with green stripes and a red and white floral and heart pattern. The three round mats are embroidered to read ``Bill Clinton.'' Recd--December 18, 1999. Est. Value-- $5000. Archives Foreign.",5000,Non-acceptance would cause embarrassment to donor and U.S. Government
47,President,NA,1999,NA,"His Excellency Nursultan Nazarbayev, President of the Republic of Kazakhstan",Kazakhstan,"10"" x 8"" gold and silver sculpture with a circular flat top lined with small animals and a carved object in the middle, on a blue-green marble/ granite base. Recd-- December 20, 1999. Est. Value--$1000. Archives Foreign. (1) Two 18 kt. gold rings attached to a pendant and cuff bracelet by two thin gold chains. All pieces are embedded with turquoise stones, $1800. (2) 12"" x 10"" green marble two-piece sculpture. The sphere has a metal ring that reads ``Cooperative Threat Reduction,'' which sits in a concave spot on the marble base, $150. (3) Set of 18 kt. gold rectangular cuff links with an intricately carved design on each, $225. Recd--December 20, 1999. Est. Value-- $2175. Archives Foreign.",2175,Non-acceptance would cause embarrassment to donor and U.S. Government
48,President,NA,1999,NA,"His Excellency Zine El- Abidine Ben Ali, The President of the Republic of Tunisia and Mrs. Ben Ali",Tunisia,"(1) Case of eight bottles of olive oil. (2) Two 10lb. bags of dates. Recd--December 29, 1999. Est. Value-- $200. Accepted by Another Government Agency. 20""diameter x 15"" tall yellow and purple leather ottman storage box. Ottoman is hollow with lid. Inside the ottoman are two 14""diameter x 5"" tall purple and yellow leather trays. Recd-- December 29, 1999. Est. Value--$350. Archives Foreign.",350,Non-acceptance would cause embarrassment to donor and U.S. Government
49,President and First Lady,NA,1999,NA,Their Imperial Majesties The Emperor and Empress of Japan,Japan,"(1) Silver brooch with clusters of pearls in the shape of a daisy, $185. (2) 2"" x 8"" x 10"" black lacquer box with gold wheat desing on the lid, $250. Recd--June 22, 1994. Est. Value--$435. Archives Foreign.",435,Non-acceptance would cause embarrassment to donor and U.S. Government
50,President and First Lady,NA,1999,NA,Mr. Joe Harrington Mayor of Limerick Ireland,Ireland,"(1) 15"" tall porcelain figure of a woman dancer with long brown hair and a white hardened mesh dress standing on a rock surrounded by puffins, $350. (2) 9"" x 7"" gold- tone framed poem titled ``Dance In The Wind'' $25. (3) 6"" x 4"" white and blue porcelain stand that reads ``Dance In The Wind, Limited Edition No. 1, Presented to Hillary Clinton by the City of Limerick, Ireland, 5th of September 1998,'' $50. Recd--September 8, 1998. Est. Value-- $425. Archives Foreign.",425,Non-acceptance would cause embarrassment to donor and U.S. Government
51,President and First Lady,NA,1999,NA,"The Honorable Licenciado Xavier Abreu Sierra, Presidente Municipal de Merida, Merida, Yucatan Mexico",Mexico,"For the President: 10"" tall off-white carved bone that depicts a warrior wearing a jaguar headdress; a lion's head protrudes from the top of the bone; sitting on a 3"" diameter wooden base, $200. For the First Lady: 1"" x 2"" gold filigree cross pendant, $250. Recd-- February 14, 1999. Est. Value--$450. Archives Foreign.",450,Non-acceptance would cause embarrassment to donor and U.S. Government
52,President and First Lady,NA,1999,NA,"His Excellency Ernesto Zedillo Ponce de Leon, President of the United Mexican States",Mexico,"For the President: Two volume and antique book set. ``The History of the Conquest of Mexico By the Spaniards,'' by Don Antonio de Solis, $400. For the First Lady: (1) Book. ``Rebuzus de la Collection,'' by Robert Everts, $50. (2) Traditional Mexican shawl, $150. Recd--February 15, 1999. Est. Value-- $600. Archives Foreign.",600,Non-acceptance would cause embarrassment to donor and U.S. Government
53,President and First Lady,NA,1999,NA,"His Excellency Flt. Lt. Jerry John Rawlings, (Ret.), The President of the Republic of Ghana and Mrs. Rawlings",Ghana,"For the President: 15"" x 20"" light yellow/ brown traditional Ashanti stool with various shaped carvings, $500. For the First Lady: (1) Three 11"" x 13"" gilt framed and matted shadow boxes containing multicolored cotton traditional Ghanaian cloths, $375. (2) 23"" long yellow traditional Ghanaian beaded a necklace with blue, white, and red stripes, and two 1"" gold tube accents, with a matching bracelet, $100. (3) 18"" long 18 kt. gold link necklace with a 1"" pure gold nugget pendant, and a pair of matching 2"" dangling pierced earrings with .5"" pure gold nuggets at the ends, $1400. Recd--February 23, 1999. Est. Value-- $2375. Archives Foreign.",2375,Non-acceptance would cause embarrassment to donor and U.S. Government
54,President and First Lady,NA,1999,NA,"His Excellency Arnoldo Aleman, The President of the Republic of Nicaragua and Mrs. Aleman",Nicaragua,"For the President: 20"" x 13"" x 11"" wood lacquered humidor with two drawers, $650. For the First Lady: 1"" x 2"" x 14 kt. gold filigree leaf-shaped brooch, $300. Recd-- March 10, 1999. Est. Value--$950. Archives Foreign.",950,Non-acceptance would cause embarrassment to donor and U.S. Government
55,President and First Lady,NA,1999,NA,"His Excellency Aleksander Kwasniewski, The President of the Republic of Poland and Mrs. Kwasniewski",Poland,"For the President: 23"" x 15"" black framed and matted pen sketch of a Warsaw city square; signed by the artist Solom Krosimy, $300. For the First Lady: 90"" x 16"" blue silk table runner with rust, pink, green, tan, and blue floral motif, gold backing, and silver fringe on both ends, $165. Recd-- April 23, 1999. Est. Value--$465. Archives Foreign.",465,Non-acceptance would cause embarrassment to donor and U.S. Government
56,President and First Lady,NA,1999,NA,"His Excellency Heydar Aliyev, President of the Republic of Azerbaijan",Azerbaijan,"(1) Hardcover book. ``Together Towards the New Century: Official Visit of Heydar Aliyev to the United States of America,'' $40. (2) Paperback. ``NATO and Azerbaijan,'' $10. (3) Silver and vermeil wine decanter ewer set with six cups and a platter. 13"" tall decanter has long spout and handle, with blue, white and green floral enamel motif. 3.5"" tall cups have engraved silver floral motif and sit on a gold stem. 16"" x 12"" platter has white, blue, and green floral enamel work on each scalloped end and a silver medallion in the center of the platter surrounded by a gold engraved background, $2500. (4) Silver and vermeil tea set with six settings and a black and white enamel floral motif; that includes 8.5"" tall teapot with gold spout, handle, and attached lid; 3"" diameter gold saucers; 1.5"" tall x 2.5"" diameter teacups; 3.5"" long spoons; 13"" diameter platter with silver rim, gold trimmed circle of black and white enamel work at the center, $3000. Recd--April 24, 1999. Est. Value-- $5550. Archives Foreign.",5550,Non-acceptance would cause embarrassment to donor and U.S. Government
57,President and First Lady,NA,1999,NA,"The Right Honorable Jean Chretien, P.C., M.P., The Prime Minister of Canada and Mrs. Chretien",Canada,"For the First Lady: 4"" x 7"" round crystal bowl with geometric and vine motif, $350. For the President: 30"" x 34"" brown framed and double matted 22"" x 26"" print of a crane in red and black, titled ``Radiant Loon''; signed by the artist Kenojuak; numbered 15/50, $1000. Recd--April 24, 1999. Est. Value--$1350. Archives Foreign.",1350,Non-acceptance would cause embarrassment to donor and U.S. Government
58,President and First Lady,NA,1999,NA,"His Excellency Suleyman Demirel, The President of the Republic of Turkey and Mrs. Demirel",Turkey,"For the First Lady: (1) 13"" x 9"" round silver vessel with a floral and bird relief. Vessel has a hinged lid with a gold spiral leaf finial, $1200. (2) 48"" x 96"" rust, orange, blue, and tan Vakko silk scarf with a geometric and floral motif, $150. (3) Two silver frames with a rope border, a name plate of donor, and the Turkish crest, each including photographs inscribed by the donor, $600. For the President: Large hardcover book ``Istanbul Capital of Empires,'' by Ertug, $200. Recd--April 24, 1999. Est. Value-- $2150. Archives Foreign.",2150,Non-acceptance would cause embarrassment to donor and U.S. Government
59,President and First Lady,NA,1999,NA,"His Excellency Islam Karimov, President of the Republic of Uzbekistan",Uzbekistan,"(1) Six place settings, including a four piece silver flatware set with a symbol that depicts an eagle at the bottom of each piece, $3300. (2) 13"" brass Chillim pipe that has turquoise beads in a floral motif, $300. (3) 19"" long wooden flute with mother-of-pearl inlay floral design, $175. Recd--April 24, 1999. Est. Value--$3775. Archives Foreign.",3775,Non-acceptance would cause embarrassment to donor and U.S. Government
60,President and First Lady,NA,1999,NA,"His Excellency Petar Stoyanov, The President of the Republic of Bulgaria and Mrs. Stoyanova",Bulgaria,"For the President: 9"" diameter bronze plate with silver overlay and crest in the center and an etched signature, $300. For the First Lady: 3"" x 3"" silver model of a domed church, $250. Recd--April 24, 1999. Est. Value--$550. Archives Foreign.",550,Non-acceptance would cause embarrassment to donor and U.S. Government
61,President and First Lady,NA,1999,NA,"His Excellency Vaclav Havel, President of the Czech Republic",Czechia,"43"" x 30"" gilt framed pencil sketch of butterflies, pink roses, orchids, and seven face profiles with a 5"" x 3"" square cut out in the center of the piece with sketches of five additional profiles. Recd--April 28, 1999. Est. Value--$750. Archives Foreign.",750,Non-acceptance would cause embarrassment to donor and U.S. Government
62,President and First Lady,NA,1999,NA,"Their Majesties King Abdullah II and Queen Rania al Abdullah, Jordan",Jordan,"(1) 4' x 8' red hand- woven wool rug with green, black, blue, and yellow vertical stripes, $800. (2) 4' x 3' black wood framed painting titled ``Spring/Winter,'' that is divided into two halves, one half has blue paint splatters and a blue horizontal stripe, other half has yellow paint splatters and a yellow horizontal stripe, $1200. (3) 72"" x 28"" rust and mustard colored silk shawl with a gold braided border and nine embroidered flowers with stems standing vertically from the base, $400. Recd--May 18, 1999. Est. Value-- $2400. Archives Foreign.",2400,Non-acceptance would cause embarrassment to donor and U.S. Government
