year	category	rank	character_id	name	area	organization	image_url	name_english	area_english	organization_english
2011	all	13	13	いなッピー	（愛知県）	愛知県稲沢市	https://www.yurugp.jp//img/uploads/character/200/00000013.jpg	Inappi	(Aichi Prefecture)	Inazawa City, Aichi Prefecture
2011	all	14	14	すがもん	（東京都）	巣鴨地蔵通り商店街振興組合	https://www.yurugp.jp//img/uploads/character/200/00000014.jpg	Sugamon	(Tokyo)	Sugamo Jizo-dori Shopping District Promotion Association
2011	all	15	15	キャプテン海道くん	（熊本県）	一般社団法人天草宝島観光協会	https://www.yurugp.jp//img/uploads/character/200/00000015.jpg	Captain Kaido	(Kumamoto Prefecture)	Amakusa Takarajima Tourism Association
2011	all	16	16	いしきりん	（大阪府）	石切参道商店街振興組合	https://www.yurugp.jp//img/uploads/character/200/00000016.jpg	Ishikirin	(Osaka Prefecture)	Ishigakisando shopping street promotion combination
2011	all	17	17	ミヤリー	（栃木県）	宇都宮市	https://www.yurugp.jp//img/uploads/character/200/00000017.jpg	MIARY	(Tochigi Prefecture)	Utsunomiya City
2011	all	18	18	群馬県のマスコット「ぐんまちゃん」	（群馬県）	群馬県	https://www.yurugp.jp//img/uploads/character/200/00000018.jpg	"Gunma mascot ""Gunma-chan"""	(Gunma Prefecture)	Gunma Prefecture
2011	all	19	19	しょうぶパン鬼一	（埼玉県）	菖蒲商工会青年部	https://www.yurugp.jp//img/uploads/character/200/00000019.jpg	Shobu Bread Onichi	(Saitama)	Shobu Chamber of Commerce
2011	all	20	20	さのまる	（栃木県）	佐野市	https://www.yurugp.jp//img/uploads/character/200/00000020.jpg	Sanomaru	(Tochigi Prefecture)	Sano City
2011	all	21	21	島根県観光キャラクター「しまねっこ」	（島根県）	公益社団法人　島根県観光連盟	https://www.yurugp.jp//img/uploads/character/200/00000021.jpg	"Shimane tourism character ""Shimaneko"""	(Shimane Prefecture)	Shimane Prefectural Tourism Federation
2011	all	22	22	玄武岩の玄	（兵庫県）	豊岡市役所	https://www.yurugp.jp//img/uploads/character/200/00000022.jpg	Basalt Gen	(Hyogo prefecture)	Toyooka City Hall
2011	all	23	23	とりもっちゃん	（山梨県）	甲府鳥もつ煮でみなさまの縁をとりもつ隊	https://www.yurugp.jp//img/uploads/character/200/00000023.jpg	Torimo-chan	(Yamanashi Prefecture)	A team that holds everyone's edge with Kofu Tori Motsuni
2011	all	24	24	とうひょうくん	（群馬県）	館林市選挙管理委員会	https://www.yurugp.jp//img/uploads/character/200/00000024.jpg	Tohyo-kun	(Gunma Prefecture)	Tatebayashi Election Commission
2011	all	25	25	たいしくん	（大阪府）	大阪・太子町	https://www.yurugp.jp//img/uploads/character/200/00000025.jpg	Taikun	(Osaka Prefecture)	Osaka/Taishi Town
2011	all	26	26	阿賀野市イメージキャラクター「ごずっちょ」	（新潟県）	阿賀野市	https://www.yurugp.jp//img/uploads/character/200/00000026.jpg	"Image character ""Gozcho"" of Agano City"	(Niigata Prefecture)	Agano
2011	all	27	27	あゆコロちゃん	（神奈川県）	厚木市	https://www.yurugp.jp//img/uploads/character/200/00000027.jpg	Ayukoro-chan	(Kanagawa Prefecture)	Atsugi City
2011	all	28	28	さばトラななちゃん	（福井県）	小浜商工会議所　ななちゃん友の会	https://www.yurugp.jp//img/uploads/character/200/00000028.jpg	Saba Tiger Nana	(Fukui Prefecture)	Obama Chamber of Commerce
2011	all	29	29	おけわんこ	（愛知県）	桶狭間古戦場保存会	https://www.yurugp.jp//img/uploads/character/200/00000029.jpg	Okwanko	(Aichi Prefecture)	Okehama Old Battlefield Preservation Society
2011	all	30	30	ピカリャ～	（沖縄県）	竹富町観光協会	https://www.yurugp.jp//img/uploads/character/200/00000030.jpg	Picalha~	(Okinawa Prefecture)	Taketomi Town Tourism Association
2011	all	31	31	うなりくん	（千葉県）	成田市観光プロモーション課	https://www.yurugp.jp//img/uploads/character/200/00000031.jpg	Growling	(Chiba Prefecture)	Narita City Tourism Promotion Division
2011	all	32	32	たか丸くん	（青森県）	青森県弘前市観光政策課	https://www.yurugp.jp//img/uploads/character/200/00000032.jpg	Takamaru	(Aomori Prefecture)	Aomori Prefecture Hirosaki City Tourism Policy Division
2011	all	33	33	ばっしょくん	（石川県）	能登野菜応援プロジェクト	https://www.yurugp.jp//img/uploads/character/200/00000033.jpg	Basho-kun	(Ishikawa Prefecture)	Noto vegetable support project
2011	all	34	34	和倉温泉わくたまくん	（石川県）	和倉温泉観光協会	https://www.yurugp.jp//img/uploads/character/200/00000034.jpg	Wakura Onsen Wakutama	(Ishikawa Prefecture)	Wakura Onsen Tourism Association
2011	all	35	35	ネージュ	（新潟県）	十日町市　観光交流課	https://www.yurugp.jp//img/uploads/character/200/00000035.jpg	Neige	(Niigata Prefecture)	Tokamachi City Tourism Exchange Division
2011	all	36	36	もち‐うさぎ	（新潟県）	株式会社坂井商店	https://www.yurugp.jp//img/uploads/character/200/00000036.jpg	Mochi-Rabbit	(Niigata Prefecture)	Sakai Shoten Co., Ltd.
2011	all	37	37	浜松市マスコットキャラクター「出世大名家康くん」	（静岡県）	浜松市	https://www.yurugp.jp//img/uploads/character/200/00000037.jpg	"Hamamatsu city mascot character ""Iseyasu Ieyasu-kun"""	(Shizuoka Prefecture)	Hamamatsu city
2011	all	38	38	ビバッチェくん	（滋賀県）	ビバシティ専門店街	https://www.yurugp.jp//img/uploads/character/200/00000038.jpg	Vivache	(Shiga Prefecture)	Viva City Specialty Store Street
2011	all	39	39	みくちゃん	（奈良県）	奈良県大和高田市	https://www.yurugp.jp//img/uploads/character/200/00000039.jpg	Miku-chan	(Nara Prefecture)	Yamatotakada City, Nara Prefecture
2011	all	40	40	コバトン	（埼玉県）	埼玉県	https://www.yurugp.jp//img/uploads/character/200/00000040.jpg	Cobaton	(Saitama)	Saitama
2011	all	41	41	パイプル君	（埼玉県）	アロハガス株式会社	https://www.yurugp.jp//img/uploads/character/200/00000041.jpg	Piple	(Saitama)	Aloha Gas Co., Ltd.
2011	all	42	42	ホシーワン	（千葉県）	千葉ショッピングセンターC-one	https://www.yurugp.jp//img/uploads/character/200/00000042.jpg	Hosea One	(Chiba Prefecture)	Chiba Shopping Center C-one
2011	all	43	43	へしこちゃん	（福井県）	美浜町観光協会	https://www.yurugp.jp//img/uploads/character/200/00000043.jpg	Heshiko-chan	(Fukui Prefecture)	Mihama Tourism Association
2011	all	44	44	アックマ	（北海道）	コアックマプロジェクト	https://www.yurugp.jp//img/uploads/character/200/00000044.jpg	Akkuma	(Hokkaido)	Koakkuma project
2011	all	45	45	ゾウキリン	（埼玉県）	新座市役所観光推進課	https://www.yurugp.jp//img/uploads/character/200/00000045.jpg	Elephant giraffe	(Saitama)	Niiza City Hall Tourism Promotion Division
2011	all	46	46	丹波竜のちーたん	（兵庫県）	丹波市	https://www.yurugp.jp//img/uploads/character/200/00000046.jpg	Tanba Ryu Chitan	(Hyogo prefecture)	Tamba city
2011	all	47	47	むすび丸	（宮城県）	仙台・宮城観光キャンペーン推進協議会	https://www.yurugp.jp//img/uploads/character/200/00000047.jpg	Rice ball	(Miyagi Prefecture)	Sendai/Miyagi Tourism Campaign Promotion Council
2011	all	48	48	明智かめまる	（京都府）	亀岡市観光戦略課	https://www.yurugp.jp//img/uploads/character/200/00000048.jpg	Akechi Kamemaru	(Kyoto)	Kameoka City Tourism Strategy Division
2011	all	49	49	唐ワンくん	（佐賀県）	唐津市	https://www.yurugp.jp//img/uploads/character/200/00000049.jpg	Karawan	(Saga Prefecture)	Karatsu City
2011	all	50	50	あさっぴー	（北海道）	旭川市	https://www.yurugp.jp//img/uploads/character/200/00000050.jpg	Asappy	(Hokkaido)	Asahikawa
2011	all	51	51	あいちゃん	（愛知県）	株式会社アイ・シー・シー	https://www.yurugp.jp//img/uploads/character/200/00000051.jpg	Ai-chan	(Aichi Prefecture)	ICC Co., Ltd.
2011	all	52	52	あやめ	（茨城県）	潮来市	https://www.yurugp.jp//img/uploads/character/200/00000052.jpg	Iris	(Ibaraki Prefecture)	Itako City
2011	all	53	53	きみぴょん	（千葉県）	君津市	https://www.yurugp.jp//img/uploads/character/200/00000053.jpg	Kimipyon	(Chiba Prefecture)	Kimitsu
2011	all	54	54	きんたくん	（兵庫県）	川西市	https://www.yurugp.jp//img/uploads/character/200/00000054.jpg	Kinta-kun	(Hyogo prefecture)	West Sichuan
2011	all	55	55	ちま吉	（滋賀県）	NA	https://www.yurugp.jp//img/uploads/character/200/00000055.jpg	Chimakichi	(Shiga Prefecture)	NA
2011	all	56	56	いがまんちゃん	（埼玉県）	羽生市キャラクター推進室	https://www.yurugp.jp//img/uploads/character/200/00000056.jpg	Igaman-chan	(Saitama)	Hanyu City Character Promotion Office
2011	all	57	57	ケキョきち	（岩手県）	鴬宿温泉観光協会	https://www.yurugp.jp//img/uploads/character/200/00000057.jpg	Kekyo Kichi	(Iwate Prefecture)	Tsubukujuku Onsen Tourism Association
2011	all	58	58	まゆまろ	（京都府）	京都府	https://www.yurugp.jp//img/uploads/character/200/00000058.jpg	Mayu Maro	(Kyoto)	Kyoto
2011	all	59	59	よしみん	（埼玉県）	ゆる玉応援団よしみんサポート委員会	https://www.yurugp.jp//img/uploads/character/200/00000059.jpg	Yoshimin	(Saitama)	Yurutama Support Group Yoshimin Support Committee
2011	all	60	60	やっぷー	（兵庫県）	やぶ市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000060.jpg	Yapoo	(Hyogo prefecture)	Yabu City Tourism Association
2011	all	61	61	わたる	（兵庫県）	本州四国連絡高速道路	https://www.yurugp.jp//img/uploads/character/200/00000061.jpg	Cross	(Hyogo prefecture)	Honshu-Shikoku Expressway
2011	all	62	62	市川三郷レンジャー（にんにん・どんどん・ぽんぽん）	（山梨県）	市川三郷町	https://www.yurugp.jp//img/uploads/character/200/00000062.jpg	Misato Ichikawa Ranger (garlic, dondon, pompon)	(Yamanashi Prefecture)	Ichikawa Misato Town
2011	all	63	63	カブッキー	（石川県）	石川県小松市	https://www.yurugp.jp//img/uploads/character/200/00000063.jpg	Kabukki	(Ishikawa Prefecture)	Komatsu City, Ishikawa Prefecture
2011	all	64	64	びわこぐま	（滋賀県）	株式会社フエンテ	https://www.yurugp.jp//img/uploads/character/200/00000064.jpg	Biwakoguma	(Shiga Prefecture)	Fuente Co., Ltd.
2011	all	65	65	わん丸君	（愛知県）	犬山市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000065.jpg	Wanmaru-kun	(Aichi Prefecture)	Inuyama City Tourist Association
2011	all	66	66	いなりん	（愛知県）	豊川市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000066.jpg	Inari	(Aichi Prefecture)	Toyokawa City Tourist Association
2011	all	67	67	はばタン	（兵庫県）	兵庫県	https://www.yurugp.jp//img/uploads/character/200/00000067.jpg	Habatan	(Hyogo prefecture)	Hyogo prefecture
2011	all	68	68	かさまるくん・かさまるちゃん	（岐阜県）	笠松町役場	https://www.yurugp.jp//img/uploads/character/200/00000068.jpg	Kasamaru-kun and Kasamaru-chan	(Gifu Prefecture)	Kasamatsu Town Hall
2011	all	69	69	きーほくん	（三重県）	紀北町観光協会	https://www.yurugp.jp//img/uploads/character/200/00000069.jpg	Kihokun	(Mie Prefecture)	Kihoku Town Tourism Association
2011	all	70	70	すいたん	（大阪府）	吹田市	https://www.yurugp.jp//img/uploads/character/200/00000070.jpg	Suitan	(Osaka Prefecture)	Suita City
2011	all	71	71	つなが竜ヌゥ	（埼玉県）	さいたま市	https://www.yurugp.jp//img/uploads/character/200/00000071.jpg	Tsunaga Ryu Nu	(Saitama)	Saitama City
2011	all	72	72	ブコーさん	（埼玉県）	横瀬町	https://www.yurugp.jp//img/uploads/character/200/00000072.jpg	Buko	(Saitama)	Yokoze Town
2011	all	73	73	いなぼう	（兵庫県）	猪名川町	https://www.yurugp.jp//img/uploads/character/200/00000073.jpg	Inabo	(Hyogo prefecture)	Inagawa Town
2011	all	74	74	むきぱんだ	（鳥取県）	大山町	https://www.yurugp.jp//img/uploads/character/200/00000074.jpg	Mukipanda	(Tottori prefecture)	Oyama Town
2011	all	75	75	ニャオざね	（埼玉県）	熊谷市市民部市民活動推進課　	https://www.yurugp.jp//img/uploads/character/200/00000075.jpg	Meow Zane	(Saitama)	Kumagaya City Citizen's Department, Citizen Activity Promotion Section
2011	all	76	76	ムズムズ	（富山県）	富山県射水市	https://www.yurugp.jp//img/uploads/character/200/00000076.jpg	Musms	(Toyama Prefecture)	Imizu City, Toyama Prefecture
2011	all	77	77	くらわんこ	（大阪府）	特定非営利活動法人　枚方文化観光協会	https://www.yurugp.jp//img/uploads/character/200/00000077.jpg	Little dog	(Osaka Prefecture)	Hirakata Cultural Tourism Association
2011	all	78	78	やらにゃん	（新潟県）	胎内検定実行委員会	https://www.yurugp.jp//img/uploads/character/200/00000078.jpg	Yanyan	(Niigata Prefecture)	Womb test executive committee
2011	all	79	79	あいづじげん	（福島県）	会津美里町	https://www.yurugp.jp//img/uploads/character/200/00000079.jpg	Gen Aizu	(Fukushima Prefecture)	Aizumisato Town
2011	all	80	80	えんむちゃん	（埼玉県）	くまがや市商工会	https://www.yurugp.jp//img/uploads/character/200/00000080.jpg	Enmu-chan	(Saitama)	Kumagaya City Chamber of Commerce
2011	all	81	81	やきっピ	（秋田県）	横手やきそば研究会	https://www.yurugp.jp//img/uploads/character/200/00000081.jpg	Yakippi	(Akita)	Yokote Yakisoba Study Group
2011	all	82	82	ポチ武者こじゅーろう	（宮城県）	宮城県白石市	https://www.yurugp.jp//img/uploads/character/200/00000082.jpg	Pochi warrior Kojurou	(Miyagi Prefecture)	Shiroishi City, Miyagi Prefecture
2011	all	83	83	こゆりちゃん	（福島県）	福島県西会津町	https://www.yurugp.jp//img/uploads/character/200/00000083.jpg	Koyuri	(Fukushima Prefecture)	Nishiaizu Town, Fukushima Prefecture
2011	all	84	84	かねたんＳ『愛と義の四人衆』	（山形県）	一般社団法人米沢観光コンベンション協会	https://www.yurugp.jp//img/uploads/character/200/00000084.jpg	"Kanetan S ""Love and Righteous People"""	(Yamagata Prefecture)	Yonezawa Tourism and Convention Association
2011	all	85	85	縁丸	（福井県）	出雲記念（株）	https://www.yurugp.jp//img/uploads/character/200/00000085.jpg	Enmaru	(Fukui Prefecture)	Izumo Memorial Co., Ltd.
2011	all	86	86	戸越銀次郎	（東京都）	戸越銀座商店街連合組合	https://www.yurugp.jp//img/uploads/character/200/00000086.jpg	Togoshi Ginjiro	(Tokyo)	Togoshi Ginza Shopping Street Union Association
2011	all	87	87	シロモチくん	（三重県）	津市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000087.jpg	Shiromochi-kun	(Mie Prefecture)	Tsu City Tourism Association
2011	all	88	88	ニャモタン	（青森県）	(株)ムジコ・クリエイト モータースクール	https://www.yurugp.jp//img/uploads/character/200/00000088.jpg	Nyamotan	(Aomori Prefecture)	Musico Create Motor School, Inc.
2011	all	89	89	ハッスル黄門	（茨城県）	茨城県	https://www.yurugp.jp//img/uploads/character/200/00000089.jpg	Hustle Komon	(Ibaraki Prefecture)	Ibaraki Prefecture
2011	all	90	90	ミムリン	（埼玉県）	埼玉県美里町	https://www.yurugp.jp//img/uploads/character/200/00000090.jpg	Mimulin	(Saitama)	Misato Town, Saitama Prefecture
2011	all	91	91	ブットンくん	（大阪府）	真宗大谷派(東本願寺)大阪教区	https://www.yurugp.jp//img/uploads/character/200/00000091.jpg	Button	(Osaka Prefecture)	Shinshu Otani School (Higashi Honganji Temple) Osaka Parish
2011	all	92	92	ふくまるくん	（大阪府）	池田市	https://www.yurugp.jp//img/uploads/character/200/00000092.jpg	Fukumaru-kun	(Osaka Prefecture)	Ikeda
2011	all	93	93	はにぽん	（埼玉県）	埼玉県本庄市	https://www.yurugp.jp//img/uploads/character/200/00000093.jpg	Hanipon	(Saitama)	Honjo City, Saitama Prefecture
2011	all	94	94	ほろんちゃん	（北海道）	上士幌町	https://www.yurugp.jp//img/uploads/character/200/00000094.jpg	Horon-chan	(Hokkaido)	Kamishihoro Town
2011	all	95	95	マジャッキー	（熊本県）	荒尾市	https://www.yurugp.jp//img/uploads/character/200/00000095.jpg	Majacky	(Kumamoto Prefecture)	Arao
2011	all	96	96	ころう君	（熊本県）	熊本県	https://www.yurugp.jp//img/uploads/character/200/00000096.jpg	Koro-kun	(Kumamoto Prefecture)	Kumamoto Prefecture
2011	all	97	97	もろ丸くん	（埼玉県）	毛呂山町	https://www.yurugp.jp//img/uploads/character/200/00000097.jpg	Moromaru-kun	(Saitama)	Moroyama Town
2011	all	98	98	イナゴージャス	（埼玉県）	羽生市キャラクター推進室	https://www.yurugp.jp//img/uploads/character/200/00000098.jpg	Ina Gorgeous	(Saitama)	Hanyu City Character Promotion Office
2011	all	99	99	大野ジョー	（福岡県）	福岡県大野城市	https://www.yurugp.jp//img/uploads/character/200/00000099.jpg	Ohno Joe	(Fukuoka Prefecture)	Onojo City, Fukuoka Prefecture
2011	all	100	100	フルーツ王国の仲間たち	（和歌山県）	かつらぎ町	https://www.yurugp.jp//img/uploads/character/200/00000100.jpg	Friends of the Fruit Kingdom	(Wakayama Prefecture)	Katsuragi Town
2011	all	101	101	武者丸	（岐阜県）	NA	https://www.yurugp.jp//img/uploads/character/200/00000101.jpg	Samurai Maru	(Gifu Prefecture)	NA
2011	all	102	102	まっくん・あゆみん	（埼玉県）	東松山市	https://www.yurugp.jp//img/uploads/character/200/00000102.jpg	Mackun/Ayumi	(Saitama)	Higashi Matsuyama
2011	all	103	103	ササダンゴン	（新潟県）	新潟応援団☆笹だんごの会	https://www.yurugp.jp//img/uploads/character/200/00000103.jpg	Sasa Dangon	(Niigata Prefecture)	Niigata Cheering Party☆Sasa Dango Meeting
2011	all	104	104	ぎんにゃん	（滋賀県）	滋賀県立彦根東高等学校	https://www.yurugp.jp//img/uploads/character/200/00000104.jpg	Gin Nyan	(Shiga Prefecture)	Shiga Prefectural Hikone East High School
2011	all	105	105	なみすけ	（東京都）	杉並区	https://www.yurugp.jp//img/uploads/character/200/00000105.jpg	Namisuke	(Tokyo)	Suginami
2011	all	106	106	やちにゃん	（滋賀県）	ＬＬＣひこらぼ	https://www.yurugp.jp//img/uploads/character/200/00000106.jpg	Yachi Nyan	(Shiga Prefecture)	LLC Hikorabo
2011	all	107	107	ミョーコーさん	（新潟県）	妙高市　観光商工課	https://www.yurugp.jp//img/uploads/character/200/00000107.jpg	Myoko	(Niigata Prefecture)	Myoko City Tourism and Commerce Division
2011	all	108	108	ハンバーグマのグーグー	（静岡県）	食べよう!!ハンバーグの会	https://www.yurugp.jp//img/uploads/character/200/00000108.jpg	Googoo of hamburger	(Shizuoka Prefecture)	Let's eat!! Hamburger's Association
2011	all	109	109	ザリガニータ	（新潟県）	ガッタープロジェクト	https://www.yurugp.jp//img/uploads/character/200/00000109.jpg	Zariganita	(Niigata Prefecture)	Gutter project
2011	all	110	110	おいでちゃん	（群馬県）	水上温泉旅館協同組合	https://www.yurugp.jp//img/uploads/character/200/00000110.jpg	Oidechan	(Gunma Prefecture)	Aqua Hot Spring Hotel Synergy
2011	all	111	111	ふくしまから はじめよう。キビタン	（福島県）	福島県	https://www.yurugp.jp//img/uploads/character/200/00000111.jpg	Let's start from Fukushima. Kibitan	(Fukushima Prefecture)	Fukushima Prefecture
2011	all	112	112	宮坊・チャミー	（三重県）	大台町	https://www.yurugp.jp//img/uploads/character/200/00000112.jpg	Miyabo・Chammy	(Mie Prefecture)	Odai Town
2011	all	113	113	ひょこたん	（香川県）	高松兵庫町商店街振興組合	https://www.yurugp.jp//img/uploads/character/200/00000113.jpg	Hyokotan	(Kagawa Prefecture)	Takamatsu Hyogocho Shopping District Promotion Association
2011	all	114	114	杉戸町マスコットキャラクターすぎぴょん・すぎたろう	（埼玉県）	杉戸町	https://www.yurugp.jp//img/uploads/character/200/00000114.jpg	Sugito-machi mascot character	(Saitama)	Sugito Town
2011	all	115	115	サケリン	（新潟県）	新潟県村上市	https://www.yurugp.jp//img/uploads/character/200/00000115.jpg	Salmon	(Niigata Prefecture)	Murakami City, Niigata Prefecture
2011	all	116	116	ゴーヤ先生	（京都府）	福知山環境会議	https://www.yurugp.jp//img/uploads/character/200/00000116.jpg	Goya teacher	(Kyoto)	Fukuchiyama Environmental Conference
2011	all	117	117	ぶるべー	（東京都）	小平ブルーベリー協議会	https://www.yurugp.jp//img/uploads/character/200/00000117.jpg	Blue	(Tokyo)	Kodaira Blueberry Council
2011	all	118	118	オケちゃん	（埼玉県）	(一社)桶川市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000118.jpg	Oke-chan	(Saitama)	(One company) Okegawa City Tourism Association
2011	all	119	119	マッキー	（大阪府）	松原市	https://www.yurugp.jp//img/uploads/character/200/00000119.jpg	Mackie	(Osaka Prefecture)	Matsubara
2011	all	120	120	前橋市マスコットキャラクター「ころとん」	（群馬県）	群馬県前橋市	https://www.yurugp.jp//img/uploads/character/200/00000120.jpg	"Maebashi City mascot character ""Koroton"""	(Gunma Prefecture)	Maebashi City, Gunma Prefecture
2011	all	121	121	たべんばくん	（佐賀県）	NA	https://www.yurugp.jp//img/uploads/character/200/00000121.jpg	Tabenbakun	(Saga Prefecture)	NA
2011	all	122	122	せとちゃん	（愛知県）	瀬戸市まるっとミュージアム・観光協会	https://www.yurugp.jp//img/uploads/character/200/00000122.jpg	Seto-chan	(Aichi Prefecture)	Seto City Marutto Museum and Tourism Association
2011	all	123	123	わ鐵のわっしー	（群馬県）	わたらせ渓谷鐵道株式会社	https://www.yurugp.jp//img/uploads/character/200/00000123.jpg	Wassetsu	(Gunma Prefecture)	Watarase Valley Railway Co., Ltd.
2011	all	124	124	はちかづきちゃん	（大阪府）	寝屋川市	https://www.yurugp.jp//img/uploads/character/200/00000124.jpg	Hachikazuki-chan	(Osaka Prefecture)	Neyagawa
2011	all	125	125	すべっ太クン	（新潟県）	わかぶな高原スキー場（駅川村観光協会）	https://www.yurugp.jp//img/uploads/character/200/00000125.jpg	Subuta Kun	(Niigata Prefecture)	Wakabuna Kogen Ski Resort (Ekikawamura Tourism Association)
2011	all	126	126	ほたるの妖精　もーりー	（滋賀県）	守山商工会議所	https://www.yurugp.jp//img/uploads/character/200/00000126.jpg	Firefly Fairy Mori	(Shiga Prefecture)	Moriyama Chamber of Commerce
2011	all	127	127	けーぶるん	（福井県）	NA	https://www.yurugp.jp//img/uploads/character/200/00000127.jpg	K-Brun	(Fukui Prefecture)	NA
2011	all	128	128	出汁之介	（北海道）	稚内観光協会青年部	https://www.yurugp.jp//img/uploads/character/200/00000128.jpg	Dashi nosuke	(Hokkaido)	Wakkanai Tourism Association Youth Club
2011	all	129	129	歯－ト・エンジェル	（埼玉県）	羽生市立西中学校	https://www.yurugp.jp//img/uploads/character/200/00000129.jpg	Tooth Angel	(Saitama)	Hanyu City Junior High School
2011	all	130	130	にゃんたろう	（石川県）	かほく市	https://www.yurugp.jp//img/uploads/character/200/00000130.jpg	Nyantaro	(Ishikawa Prefecture)	Kahoku City
2011	all	131	131	おいらくん	（青森県）	青森県　おいらせ町	https://www.yurugp.jp//img/uploads/character/200/00000131.jpg	Oira	(Aomori Prefecture)	Oirase Town, Aomori Prefecture
2011	all	132	132	かいくん	（愛知県）	貝づくし渥美事業委員会	https://www.yurugp.jp//img/uploads/character/200/00000132.jpg	Kaikuun	(Aichi Prefecture)	Shellfish Atsumi Business Committee
2011	all	133	133	さくらゆいちゃん	（静岡県）	由比町商工会	https://www.yurugp.jp//img/uploads/character/200/00000133.jpg	Sakura Yui-chan	(Shizuoka Prefecture)	Yui Town Chamber of Commerce
2011	all	134	134	ブリカツくん	（新潟県）	佐渡ご当地グルメ普及促進協議会	https://www.yurugp.jp//img/uploads/character/200/00000134.jpg	Burikatsu-kun	(Niigata Prefecture)	Sado Local Gourmet Promotion Council
2011	all	135	135	もーにくん、もーにちゃん	（愛媛県）	宇和島商工会議所	https://www.yurugp.jp//img/uploads/character/200/00000135.jpg	Moni-kun, Moni-chan	(Ehime Prefecture)	Uwajima Chamber of Commerce
2011	all	136	136	ぽんちゃん	（群馬県）	館林市	https://www.yurugp.jp//img/uploads/character/200/00000136.jpg	Pon-chan	(Gunma Prefecture)	Tatebayashi
2011	all	137	137	トヨッキー	（愛知県）	豊橋市	https://www.yurugp.jp//img/uploads/character/200/00000137.jpg	Toyockey	(Aichi Prefecture)	Toyohashi
2011	all	138	138	ふなやん	（京都府）	伊根町観光協会	https://www.yurugp.jp//img/uploads/character/200/00000138.jpg	Funayan	(Kyoto)	Ine Town Tourism Association
2011	all	139	139	ぴっかりちゃん	（長野県）	辰野町	https://www.yurugp.jp//img/uploads/character/200/00000139.jpg	Pikkari-chan	(Nagano Prefecture)	Tatsuno Town
2011	all	140	140	たっけー☆☆	（東京都）	福生市	https://www.yurugp.jp//img/uploads/character/200/00000140.jpg	Take☆☆	(Tokyo)	Fussa City
2011	all	141	141	ゴーちゃん	（三重県）	一般社団法人津市観光協会	https://www.yurugp.jp//img/uploads/character/200/00000141.jpg	Go-chan	(Mie Prefecture)	Tsu City Tourism Association
2011	all	142	142	トマピー	（埼玉県）	戸田市ボランティア・市民活動支援センター	https://www.yurugp.jp//img/uploads/character/200/00000142.jpg	Tomapie	(Saitama)	Toda City Volunteer/Social Activity Support Center
