Variable,CMED,DMAD,EALB,ECOL,ECOR,EFLA,EFUL,EMAC,EMON,ERUB,ERUF,ESAN,EUL,GMOH,HGG,LCAT,LTAR,MMUR,MZAZ,NCOU,NPYG,OGG,PCOQ,PPOT,VAR,VRUB,VVV
M_Mean_F_NeonateWeight_g,     14.32,    108.90,       .,     50.40,     46.60,     88.88,     85.50,     76.50,     61.72,     89.00,     70.74,       .,     85.17,     12.01,     51.75,     65.72,     11.18,      9.37,     17.20,     51.59,     28.94,     47.99,    106.72,       .,    120.00,    110.86,    111.38
M_Min_F_NeonateWeight_g,     10.50,     68.50,       .,     27.80,     45.20,     73.70,     79.00,     76.50,     54.00,     89.00,     43.00,       .,     70.00,      7.80,     46.00,     40.00,      8.00,      5.40,     15.20,     41.00,     25.00,     40.00,     92.00,       .,     98.00,     68.00,     88.00
M_Max_F_NeonateWeight_g,     18.00,    131.50,       .,     73.00,     48.00,    102.50,     92.00,     76.50,     66.60,     89.00,     86.50,       .,    112.00,     14.70,     57.00,     89.00,     14.00,     12.70,     19.90,     65.00,     32.25,     55.50,    131.50,       .,    139.00,    135.50,    137.00
S_N_All_YngAdltsWeighed,        55,        23,         7,        29,        21,        37,        11,        28,        48,        14,        28,        14,        30,        12,        26,       109,        25,        65,        25,        28,        27,        31,        56,         6,         9,        81,        48
M_Mean_All_YngAdultWeight_g,    241.71,   2575.28,   2170.29,   2282.38,   1575.58,   2256.35,   2222.89,   2366.93,   1493.68,   2004.27,   2063.73,   1941.25,   2098.08,    143.38,   1009.71,   2116.96,    175.10,     67.66,    288.53,   1134.81,    503.35,    867.16,   3972.20,    853.07,   3346.56,   3432.81,   3185.20
M_Min_All_YngAdultWeight_g,    128.33,   1771.67,   1948.38,   1741.83,   1212.00,   1963.63,   1843.50,   1966.00,   1220.00,   1750.00,   1682.25,   1720.00,   1465.00,    123.60,    697.00,   1483.00,    146.50,     51.92,    247.00,    858.57,    350.52,    674.00,   3141.14,    733.46,   2746.00,   2623.91,   2459.50
M_Max_All_YngAdultWeight_g,    337.00,   2852.14,   2528.50,   2747.67,   1927.50,   2627.14,   2629.00,   2873.50,   1741.25,   2220.00,   2515.00,   2195.00,   2702.00,    165.67,   1237.50,   2653.00,    219.83,     95.00,    340.00,   1500.50,    683.52,   1087.97,   5150.33,   1039.00,   3609.00,   4190.50,   3868.00
S_N_M_YngAdultsWeighed,        23,        12,         6,        17,        12,        21,         7,        17,        23,         7,        15,         7,        16,         5,         9,        50,        14,        35,        14,        14,        16,        18,        27,         5,         1,        37,        32
M_Mean_M_YngAdultWeight_g,    242.84,   2501.20,   2193.67,   2291.63,   1597.23,   2210.81,   2192.79,   2284.03,   1484.79,   1958.17,   2063.02,   1948.24,   2080.02,    149.82,   1005.79,   2128.46,    180.76,     67.03,    284.74,   1151.70,    496.53,    919.18,   3791.60,    867.51,   3562.00,   3437.41,   3182.48
M_Min_M_YngAdultWeight_g,    128.33,   1771.67,   1948.38,   1928.50,   1343.33,   2007.00,   1843.50,   1966.00,   1220.00,   1750.00,   1687.25,   1720.00,   1465.00,    133.75,    697.00,   1600.00,    160.33,     51.92,    247.00,    858.57,    350.69,    736.00,   3141.14,    733.46,   3562.00,   2792.00,   2459.50
M_Max_M_YngAdultWeight_g,    334.00,   2821.30,   2528.50,   2669.00,   1927.50,   2463.33,   2551.00,   2796.00,   1700.50,   2214.50,   2452.00,   2195.00,   2702.00,    165.67,   1156.33,   2611.00,    219.83,     88.00,    326.65,   1500.50,    589.53,   1087.97,   4389.67,   1039.00,   3562.00,   4190.50,   3868.00
S_N_F_YngAdultsWeighed,        32,        11,         1,        12,         9,        16,         4,        11,        25,         7,        13,         7,        14,         7,        17,        59,        11,        30,        11,        14,        11,        13,        29,         1,         8,        44,        16
M_Mean_F_YngAdultWeight_g,    240.90,   2656.10,   2030.00,   2269.28,   1546.71,   2316.13,   2275.56,   2495.06,   1501.85,   2050.36,   2064.55,   1934.26,   2118.73,    138.78,   1011.79,   2107.22,    167.90,     68.41,    293.35,   1117.91,    513.27,    795.13,   4140.35,    780.91,   3319.63,   3428.93,   3190.65
M_Min_F_YngAdultWeight_g,    159.00,   2446.25,   2030.00,   1741.83,   1212.00,   1963.63,   1870.00,   2060.00,   1264.00,   1880.00,   1682.25,   1796.00,   1503.00,    123.60,    836.00,   1483.00,    146.50,     54.64,    248.00,    909.94,    350.52,    674.00,   3562.89,    780.91,   2746.00,   2623.91,   2569.00
M_Max_F_YngAdultWeight_g,    337.00,   2852.14,   2030.00,   2747.67,   1796.17,   2627.14,   2629.00,   2873.50,   1741.25,   2220.00,   2515.00,   2098.83,   2669.00,    158.00,   1237.50,   2653.00,    208.50,     95.00,    340.00,   1386.50,    683.52,    948.87,   5150.33,    780.91,   3609.00,   4110.00,   3580.50
L_Max_All_Age_y,     28.99,     32.37,     34.07,     32.61,     27.42,     24.37,     36.00,     30.23,     34.86,     31.70,     32.18,     31.70,     29.38,     16.64,     23.40,     31.08,     21.54,     17.96,     19.97,     24.04,     19.26,     20.01,     30.59,     32.35,     16.67,     37.54,     39.39
L_Max_M_Age_y,     28.99,     32.37,     27.75,     32.11,     26.24,     24.26,     34.45,     30.23,     34.86,     31.70,     32.16,     24.19,     28.83,     16.64,     23.03,     31.08,     21.54,     17.96,     18.06,     22.18,     15.51,     20.01,     30.59,     25.67,     16.67,     29.91,     39.39
L_Max_F_Age_y,     25.18,     30.53,     34.07,     32.61,     27.42,     24.37,     36.00,     30.21,     28.07,     29.70,     32.18,     31.70,     29.38,     14.45,     23.40,     26.38,     18.64,     15.94,     19.97,     24.04,     19.26,     18.91,     21.69,     32.35,     14.13,     37.54,     35.68
L_Median_All_Longevity_gt30d_y,     14.04,     24.05,     17.90,     20.71,     18.14,     18.33,     18.38,     13.77,     25.11,     16.77,     20.16,     20.03,     17.07,      6.82,     10.45,     16.87,     13.38,      8.35,     13.00,     11.26,     11.25,     12.73,     10.36,     15.04,      7.14,     20.68,     15.24
L_Median_M_Longevity_gt30d_y,     13.05,     23.50,     15.31,     20.72,     17.98,     17.96,     17.77,     13.05,     24.92,     14.65,     20.59,     18.12,     16.51,      6.73,     10.12,     17.63,     13.92,      8.50,     12.70,     12.01,     10.44,     12.64,     10.89,     14.36,      9.24,     20.77,     15.44
L_Median_F_Longevity_gt30d_y,     16.64,       .,     23.65,     19.71,     17.36,     17.98,     20.65,     14.71,     21.99,       .,     19.60,     20.33,     16.80,      6.77,     11.24,     14.89,     12.35,      8.32,     12.46,     11.01,     13.32,     12.35,      9.11,     13.99,      6.53,     20.45,     14.97
S_N_All_Survival_gt30d,       183,        40,        34,        55,        54,        56,        53,        87,       107,        22,       133,        21,       219,       230,        47,       271,        44,       240,        77,        78,        36,       262,       139,        22,        41,       139,       146
S_N_M_Survival_gt30d,       104,        20,        19,        31,        31,        31,        33,        47,        53,        13,        60,        10,       113,       114,        20,       134,        23,       124,        38,        37,        18,       134,        75,        10,        16,        62,        84
S_N_F_Survival_gt30d,        79,        20,        15,        24,        23,        25,        20,        39,        54,         9,        70,        11,       105,       115,        27,       137,        21,       116,        39,        41,        18,       128,        63,        12,        25,        77,        60
L_Pct_All_InfMort_lt30d,      0.30,      0.11,      0.21,      0.25,      0.38,      0.28,      0.27,      0.32,      0.24,      0.36,      0.26,      0.06,      0.21,      0.37,      0.33,      0.20,      0.34,      0.16,      0.35,      0.14,      0.42,      0.33,      0.24,      0.69,      0.18,      0.16,      0.28
L_Pct_M_InfMort_lt30d,      0.16,      0.08,      0.08,      0.22,      0.37,      0.21,      0.16,      0.22,      0.20,      0.38,      0.26,      0.11,      0.18,      0.31,      0.35,      0.16,      0.15,      0.13,      0.19,      0.11,      0.29,      0.28,      0.27,      0.50,      0.11,      0.18,      0.21
L_Pct_F_InfMort_lt30d,      0.23,      0.13,      0.23,      0.24,      0.27,      0.36,      0.31,      0.33,      0.26,      0.33,      0.21,       .,      0.21,      0.22,      0.31,      0.14,      0.27,      0.06,      0.30,      0.13,      0.45,      0.16,      0.15,      0.50,      0.20,      0.08,      0.32
L_Pct_ND_InfMort_lt30d,      1.00,       .,      1.00,      1.00,      1.00,       .,      1.00,      1.00,      1.00,       .,      1.00,       .,      1.00,      0.97,       .,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      1.00,      0.75
S_N_All_InfMort_lt30d,        67,         3,         6,        15,        23,        16,        12,        32,        19,         8,        37,         1,        51,        94,        15,        59,        17,        35,        33,         6,        13,        77,        26,        11,         9,        21,        45
S_N_M_InfMort_lt30d,        18,         1,         1,         7,        13,         6,         4,        11,         8,         5,        17,         1,        21,        38,         7,        21,         3,        15,         7,         2,         5,        33,        15,         4,         2,        11,        18
S_N_F_InfMort_lt30d,        20,         2,         3,         6,         6,        10,         5,        14,        10,         3,        16,         .,        26,        21,         8,        20,         6,         6,        13,         3,         5,        14,         7,         1,         6,         5,        21
S_N_ND_InfMort_lt30d,        29,         .,         2,         2,         4,         .,         3,         7,         1,         .,         4,         .,         4,        35,         .,        18,         8,        14,        13,         1,         3,        30,         4,         6,         1,         5,         6
O_NocturnalOrDiurnal,         N,         N,         D,         D,         D,         D,         D,         D,         D,         D,         D,         D,         D,         N,         D,         D,         N,         N,         N,         N,         N,         N,         D,         N,         D,         D,         D
O_N_All_Biosample_Individuals,        43,        34,         5,        35,        34,         .,         7,         .,        48,        13,        32,        11,        41,        57,        34,       122,        19,        46,        28,        24,        21,        27,        85,         7,         2,        53,        43
